USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23BSC067,Female,19.0,87.8,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I am happy with my efforts and effort made by the faculty ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC120,Female,19.0,77.7,Rural,IDA_C,Interest in the subject,"Lectures, including online lectures;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,9-10 hours,5-6 hours,Less than one hour,Less than one hour,Applying theories or concepts to practical problems or in new situations,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),thanks to teachers for excellent teaching and hard work that helped me understand and apply and understand the concepts really well,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1rvu23bsc160,Male,18.0,80,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Projects or portfolios;Student presentations",Yes,Less than one hour,Less than one hour,Less than one hour,Less than one hour,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC062,Male,20.0,70,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,Less than one hour,3-4 hours,7-8 hours,5-6 hours,"Making judgments about the value of information, arguments, or methods",Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Copy-paste from online,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),Circumstances,Circumstances,Yourself,Not putting required effort to learn.,NO,Yes,Yes,Yes,NO,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC019,Female,19.0,89,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC032,Male,20.0,85%,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,Less than one hour,1-2 hours,Less than one hour,1-2 hours,Solving problems,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods","Synthesizing and organizing ideas, information, or experiences",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it",3,3,3,3,Circumstances,Circumstances,Circumstances,Circumstances,If I had mental issues which had caused memory issue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC042,Male,18.0,76,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Student presentations",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC,Female,16.0,79%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,3-4 hours,3-4 hours,3-4 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,Because the teaching was good so it would be my fault to not put required efforts ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
7,Female,18.0,69,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,Yourself,Yourself,Yourself,Yourself,I would blame myself for not putting the required efforts.,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC013,Male,18.0,55%,Urban,IDA_C,Interest in the subject;Reputation or peer recommendation of the instructor (faculty),"Lectures, including online lectures;In-class learning activities, other than discussions;Writing work",Yes,Less than one hour,Less than one hour,Less than one hour,1-2 hours,Solving problems,Solving problems,Solving problems,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Neutral with my effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",5,5,5,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),i didn't give myself marks below 2.,NO,NO,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC160,Female,18.0,93.40%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,1-2 hours,5-6 hours,5-6 hours,9-10 hours,Thinking creatively or critically,Solving problems,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),"Not applicable, I think I did well.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC107,Female,18.0,85,Urban,IDA_A,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,3-4 hours,3-4 hours,1-2 hours,1-2 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.......,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC066,Female,18.0,81%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class learning activities, other than discussions",Yes,Less than one hour,Less than one hour,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),i understood everything perfectly and did very well in the exams also...i was happy with my outcome.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC128,Male,18.0,92,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,Less than one hour,Less than one hour,Less than one hour,Less than one hour,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I SHOULD HAVE PUT MORE EFFORT..!!,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC072,Male,18.0,71,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Advisor recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios",Yes,More than 15 hours,More than 15 hours,More than 15 hours,More than 15 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2), ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC039,Male,19.0,43.5,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,Yourself,Yourself,Yourself,Yourself,good,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC002,Male,19.0,62,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings",Yes,1-2 hours,3-4 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,4,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),If I had'nt given my level best i would have no one else to blame but myself.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC116,Female,18.0,85,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,1-2 hours,3-4 hours,Solving problems,Solving problems,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",5,5,5,4,Yourself,Yourself,Yourself,Circumstances,I have understood to my knowledge ,NO,NO,Yes,Yes,NO,NO,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC074,Male,19.0,75,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Class discussions, including online discussion boards;In-class clickers or other quick response methods;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,1-2 hours,1-2 hours,1-2 hours,3-4 hours,Thinking creatively or critically,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it",4,4,2,3,NA(marks >2),NA(marks >2),Circumstances,NA(marks >2),During the co3 i was hospitalized and I was on sick leaves,NO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC092,Male,19.0,70,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I enjoyed doing the CO activities,Neutral about the activities,Neutral about the activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",4,3,4,4,NA(marks >2),NA(marks >2),Circumstances,Circumstances,Due to health issues or some mental issues ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC087,Female,18.0,91.83%,Rural,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,7-8 hours,7-8 hours,7-8 hours,7-8 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,"It is my responsibility to learn and understand the concept, hence I would blame myself if I fail to do it",Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC012,Male,18.0,80,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Projects or portfolios",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC022,Female,19.0,71,Urban,IDA_A,Interest in the subject,"Lectures, including online lectures;Outside-class homework, readings",Yes,3-4 hours,3-4 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I'm responsible for the marks I recieve,NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC145,Male,18.0,59,Urban,IDA_C,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,Less than one hour,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Solving problems,Thinking creatively or critically,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Circumstances,Circumstances,If feel like that,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC081,Male,18.0,71.16%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,I'd blame it on myself because at the end im the one responsible for my studies ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1rvu23bsc180,Male,18.0,81,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Yourself,Yourself,Yourself,Yourself,I understood ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC092,Male,19.0,70,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,Due to health issues or later submission ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC153,Male,18.0,60,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",No,Less than one hour,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),this was a good course and informative,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1rvu23bsc167,Female,18.0,57,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,Yourself,Yourself,Yourself,Yourself,Im responsible for my performance ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC130,Female,18.0,85,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I was satisfied with my performance ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
