USN ,Gender,Age,12th marks %,rural/ urban area ,Section,Why take this course?,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
","How many marks will you give yourself for C03? 
","How many marks will you give yourself for C04? 
","If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback 
1RVU23BSC009,Female,18,81%,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R1,R1,R1,R1,R1,R1,R1,R1,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I am satisfied with the effort I put and performance I did.,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC050,Female,18,85.50%,Urban,IDA_C,Interest in the subject,"Lectures, including online lectures;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R2,R4,R6,R6,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,Yourself,Yourself,Yourself,Yourself,I would blame myself because I think the teacher has done an excellent job in teaching. It would be wrong to blame them as i should have put effort from my side.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC137,Female,18,80%,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R5,R5,R8,R8,R3,R3,R1,R1,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),All the courses was understandable.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC006,Male,17,87.2,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",Yes,R6,R6,R6,R6,R7,R7,R7,R7,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have given my level best in this course and I have no reason to blame anyone as the faculty were great and the topics in the course were interesting and useful.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVUBSC23163,Male,19,75.50%,Urban,IDA_C,Interest in the subject,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,R1,R1,R2,R3,R4,R4,R4,R3,R2,R2,R2,R2,R1,R1,R1,R4,R5,R5,R5,R4,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),"I think I was prepared and did well, but i do need to put more efforts on timely submission of assignments",NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC135,Female,18,60%,Rural,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,R2,R3,R4,R2,R6,R6,R4,R4,R1,R2,R11,R6,R1,R2,R3,R3,R4,R4,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,. ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC158,Female,18,68%,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","In-class learning activities, other than discussions;Projects or portfolios;Student presentations",Yes,R4,,,,R4,R4,R4,R4,R5,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,3,3,3,3,Yourself,Yourself,Yourself,Yourself,I believe that I should keep the required effort to still get good marks.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%)
1RVU23BSC093 ,Female,18,77.5,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R6,R6,R6,R6,R1,R1,R1,R1,R4,R4,R4,R4,3,3,3,3,Yourself,Yourself,Yourself,Yourself,We are the one responsible if we not revised or studied ,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%)
1RVU23241078,Female,18,69,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course","In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R1,R1,R2,R2,R4,R3,R3,R3,R2,R5,R11,R11,R1,R1,R1,R1,R4,R4,R3,R3,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have performed well and with teacher and faculty presentation ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC068,Female,19,91.6,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios",No,R2,R3,R3,R3,R4,R6,R6,R6,R1,R5,R4,R4,R3,R3,R3,R3,R3,R5,R5,R5,3,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I had tried my best in understanding the concepts taught by teachers ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC037,Female,18,72%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,R3,R4,R3,R3,R6,R6,R6,R6,R1,R8,R1,R1,R2,R2,R2,R2,R3,R3,R3,R3,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),i have did will in IDA exam and i will get good marks ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC010,Male,19,73%,Urban,IDA_A,Fulfills general curriculum/education requirement;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule,"In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,R2,R2,R2,R2,R4,R4,R4,R4,R2,R4,R4,R10,R2,R2,R6,R6,R4,R4,R4,R4,2,2,2,2,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Consistency,Yes,Yes,Yes,Yes,NO,Yes,Yes,Yes,Good (70 - 90%)
1RVU23BSC038,Male,18,62%,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject;Advisor recommended the course,"Lectures, including online lectures;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers",Yes,R4,R4,R4,R4,R7,R7,R6,R6,R1,R1,R1,R1,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),i am ok with my effort,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC005,Male,19,75%,Urban,IDA_A,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,R7,R7,R7,R7,R7,R6,R7,R7,R11,R6,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,4,4,5,Yourself,Yourself,Yourself,Yourself,As I have put required efforts and time to understand myself ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC142,Male,17,80.3,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R6,R6,R7,R7,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2), ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC053,Female,18,70,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Fits into my schedule","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R3,R2,R6,R3,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,"if i get less marks its my mistake , because IDA faculty's support us lot",NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC170,Female,19,94.17 %,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,R2,R2,R3,R2,R6,R6,R6,R6,R5,R5,R2,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,Yourself,Yourself,Yourself,Yourself,"I take responsibility for my performance. Although the course was well-structured, I recognize the importance of personal accountability in improving my understanding and performance.",NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC064,Female,18,70%,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R4,R4,R5,R5,R7,R7,R7,R7,R6,R6,R6,,R3,R3,R2,R3,R5,R5,R4,R5,5,5,4,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Because I did all my work on the required time and put extra efforts that’s why I am happy with my work ,NO,NO,NO,NO,NO,NO,Yes,NO,Excellent (> 90%)
1RVUBSC23051,Male,18,44,Urban,IDA_C,Interest in the subject;Fits into my schedule,"In-class learning activities, other than discussions;Projects or portfolios;Writing work",Yes,R2,R2,R1,R2,R1,R3,R5,R4,R2,R1,R6,R8,R1,R2,R3,R6,R3,R3,R4,R5,1,2,3,3,Yourself,Yourself,Yourself,Yourself,I should study for my good marks ,NO,NO,NO,Yes,NO,NO,Yes,Yes,Good (70 - 90%)
1RVU23BSC033,Female,19,75,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,R6,R7,R8,R9,R7,R7,R7,R7,R6,R6,R6,R6,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),"Yes i have choosen NA because my marks are more  that, if my marks is less than that means i would have blamed myself that i have not shown interst in studies.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC112,Male,18,99,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,R3,R3,R3,R3,R4,R4,R4,R4,R8,R8,R8,R8,R2,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,Nothing ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC045,Female,19,88%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,R1,R1,R2,R2,R6,R6,R6,R6,R6,R8,R6,R8,R1,R1,R1,R1,R4,R4,R4,R4,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),IDA 1 i put all the required effort and was thoroughly interested in the subject. ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC179,Male,18,70,Rural,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,R1,R1,R2,R1,R7,R7,R7,R7,R6,R6,R6,R6,R3,R3,R2,R3,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have understood the concepts taught by the teacher and have tried applying the concept on other datasets and practiced easily and efficiently in home.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC069,Male,19,79%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Student presentations",Yes,R7,R7,R7,R7,R7,R7,R7,R7,R1,R3,R6,R6,R1,R1,R1,R1,R4,R4,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NA,Yes,Yes,Yes,Yes,NO,NO,NO,Yes,Excellent (> 90%)
1RVU23BSC117,Female,18,94,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I think I did really well on this course and I feel like I could have improved much more too,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC041,Male,18,89.5,Urban,IDA_C,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,R5,R5,R5,R5,R6,R6,R6,R6,R2,R2,R6,R3,R3,R3,R3,R3,R3,R3,R3,R3,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I blame myself because I didn't learn properly ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC124,Male,18,93,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,R4,R4,R4,R4,R6,R6,R6,R6,R9,R2,R7,R6,R2,R3,R1,R2,R3,R5,R4,R4,4,5,4,5,Yourself,Yourself,Yourself,Yourself,I am responsible as its my efforts which reflects my results.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC178,Female,18,85.50%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R3,R4,R4,R4,R7,R7,R7,R7,R1,R6,R8,R8,R1,R1,R1,R1,R5,R5,R3,R4,4,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have NA as per requirement ,NO,NO,Yes,NO,Yes,Yes,Yes,Yes,Excellent (> 90%)
20,Female,18,79,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,R3,R4,R3,R2,R6,R6,R6,R6,R2,R12,R12,R12,R4,R4,R4,R4,R5,R5,R5,R5,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,if it was any slow wifi connection.,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC138,Male,18,87,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Student presentations",No,R1,R2,R3,R3,R7,R7,R7,R7,R2,R5,R5,R5,R1,R1,R1,R1,R5,R5,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),not applicable,NO,NO,NO,Yes,NO,NO,NO,NO,Excellent (> 90%)
20,Female,18,79,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Projects or portfolios;Teamwork or group activities",Yes,R3,R4,R4,R4,R6,R6,R6,R6,R6,R6,R6,R6,R4,R4,R4,R4,R5,R5,R5,R5,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,for the slow wifi connection.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC078,Female,18,69,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R1,R1,R2,R3,R7,R6,R6,R6,R5,R5,R6,R7,R1,R1,R1,R1,R5,R5,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),not applicable means i have studyied and understood the teacher very well so i have done my exams very well,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC118,Female,18,91,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Advisor recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R7,R7,R8,R6,R7,R7,R6,R7,R9,R2,R5,R6,R3,R3,R3,R3,R5,R5,R5,R5,5,5,4,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have really performed well so i do not blame anyone and am very happy about my learning.,NO,NO,Yes,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC036,Female,18,83,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Advisor recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R3,R3,R4,R3,R7,R7,R7,R7,R5,R5,R6,R5,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I understood all the concepts of IDA_1very well and can apply them in analyzing the data well,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC144,Male,20,70,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R2,R7,R7,R5,R7,R6,R7,R6,R9,R2,R5,R5,R1,R2,R2,R3,R5,R4,R5,R5,5,4,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NA,NO,NO,NO,Yes,NO,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC015,Female,18,76,Urban,IDA_C,"Required (Core) for Program, Minor, or Specialization","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Student presentations",Yes,R3,R4,R4,R4,R7,R7,R7,R7,R6,R6,R6,R6,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,i am the one to be blamed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC083,Male,19,69,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R5,R6,R7,R5,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,balminmg my self because they support us lot,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC105,Male,21,70.60%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R7,R7,R8,R8,R7,R7,R7,R7,R5,R5,R10,R10,R3,R3,R3,R3,R5,R5,R5,R4,5,5,5,4,Yourself,Yourself,Yourself,Yourself, if i am getting less marks then it must be my fault because the teacher had explained everything very well.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC099,Female,20,82.6,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards",Yes,R6,R5,R5,R5,R7,R7,R7,R7,R5,R5,R7,R7,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I'm satisfied with my  effort and learning experience.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC091,Female,18,75.2,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R2,R5,R2,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,Yourself,Yourself,Yourself,Yourself,"For the low performance, I take responsibility for my learning. While the course was well-structured, I acknowledge the need for personal accountability in maximizing my understanding and performance.",NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC075,Male,18,71.3,Rural,IDA_C,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,R4,R4,R4,R4,R7,R7,R7,R7,R6,R7,R8,R7,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,The above answer are given as per my course experience ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVUBSC23115,Female,21,70%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,R4,R6,R9,R9,R7,R7,R7,R7,R5,R2,R8,R1,R1,R2,R3,R4,R5,R4,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC027,Female,18,81.5,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R1,R1,R2,R2,R7,R7,R7,R7,R1,R1,R1,R1,R1,R1,R3,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I think I'm capable of getting more than 2,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC076,Male,20,65.33%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R4,R4,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Marks is greater than 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC162,Female,18,72,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers",Yes,R2,R2,R3,R4,R7,R7,R7,R7,R1,R1,R1,R1,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,Yourself,Yourself,Yourself,Yourself,"The faculty were kind and approachable,the circumstances also were good.if I were to get low grads it would be due to my negligence. ",Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
