USN ,rural/ urban area,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
",How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Your overall feedback about the course,Write a paragraph about your course experience.
1RVU23CSE391,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T2,T2,R7,R7,R7,R7,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),"It was a good experience to learn data analysis using python.
It was something new and interesting..we could have learnt a little more in depth but overall it was a great experience "
1RVU23CSE014,Urban,"In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",No,T2,T3,T2,T2,R6,R7,R7,R6,R2,R3,R3,R4,R2,R2,R3,R3,R3,R3,R3,R4,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),"It was a really good course and an experience where I got to know so many new things. Now I'm thinking about pursuing my career in data analysis since I really liked the way it works.
The only problem I faced was that I didn't know python, so I was lacking the knowledge of few codes and how it works. "
1RVU23CSE214,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,T3,T3,T3,T2,R5,R5,R4,R4,R9,R8,R8,R8,R2,R4,R4,R4,R4,R4,R4,R4,3,3,3,2,NA(marks >2),NA(marks >2),NA(marks >2),Yourself,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),"The teacher was nice and helpful, but the course was not that well planned. For the next set of students who take this course, I recommend a 1-2 week python beginner course be taught and then start with DAP classes."
1RVU23CSE112,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,T3,T3,T3,T2,R6,R6,R6,R6,R8,R8,R8,R8,R4,R4,R4,R4,R4,R4,R4,R4,3,4,5,3,Yourself,Yourself,Yourself,Yourself,Yes,Yes,Yes,Yes,Yes,NO,Yes,NO,Okay (40 - 70%),"the teacher was decent as the points mentioned above.the course planning could be better. 
the grading system needs to seriously be checked. could have stared the basics of python before starting off with data analytics. the course material which was provided need to be revised a lot.
ps. make a better feedback form."
1RVU23CSE111,Urban,"Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T1,T3,T2,R7,R7,R6,R6,R2,R5,,R4,R2,R2,R4,R2,R5,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),NA
1RVU23CSE442,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,T3,T3,T3,T3,R5,R5,R5,R5,R6,R6,R6,R6,R2,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),The course was very helpful in learning data analysis I have learnt so much from this course.I enjoyed so much learning this subject as it was very interesting.Overall it was a very good course.
1RVU23CSE471,Rural,"Class discussions, including online discussion boards",No,T1,T1,T1,T1,R6,R6,R6,R6,R2,R4,R3,R3,R3,R3,R3,R3,R4,R4,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"My data analysis course with Python was a valuable journey. Clear explanations and hands-on exercises laid a strong foundation, while periodic assessments ensured comprehension. Diverse resources, such as GitHub and Kaggle, enriched practical applications. The experience was rewarding, strengthening my Python skills for effective data analysis."
1RVU23CSE413,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T3,T3,R7,R6,R5,R5,R4,R4,R2,R2,R1,R1,R1,R2,R5,R5,R5,R5,3,3,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"The course experience was good and helped in visualising the data in many aspects and the assessments helped in the understanding , whereas the internal tests gave us the boost in competing among our peers , and the sem end project helped in acknowledging all the CO's and utilising in 1 nootbook and learning how to explain it in better manner."
1RVU23CSE126,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,T3,T3,T4,T3,R6,R6,R6,R6,R3,R6,R6,R7,R2,R2,R2,R2,R5,R5,R5,R4,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"This course taught me how to analyse the dataset and also how to create the dataset.
Analysis of dataset was easier by this DAP .
The way our sahana mam taught was satisfactory.I would thank sahana mam for this best outcome. "
1RVU23CSE188,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T2,T3,T3,R7,R7,R7,R6,R2,R5,R4,R7,R1,R1,R1,R2,R5,R5,R5,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"Python is a very good programming language. It helps us analyze the dataset in a creative way, can be in the form of plots which is very effective as it seeks our attention by which we want to learn more. Overall, i have had a great time in my 1st sem learning python. My professor helped me understand the topics. The class assessments were fun to do."
1RVU23CSE467,Rural,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Fieldwork/ field trips",Yes,T1,T1,T1,T1,R6,R6,R6,R6,R1,R4,R4,R4,R2,R2,R2,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),I had fun by learning this subject and it's interesting subject
1RVU23CSE514,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",No,T2,T2,T2,T2,R6,R6,R6,R6,R1,R1,R1,R1,R2,R2,R4,R4,R5,R5,R5,R5,2,2,2,2,Yourself,Yourself,Yourself,Yourself,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),"i felt this course had an appropriate strategy and it was more practical to the present trend .
overall, what i felt was that this course opened the door for us to know and learn ,how the real world jobs work like !"
1RVU23CSE292,Rural,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",No,T3,T4,T4,T4,R5,R6,R6,R5,R11,R11,R11,R11,R2,R3,R2,R3,R5,R5,R5,R5,3,3,3,2,NA(marks >2),NA(marks >2),NA(marks >2),Yourself,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),"My course experience was very good, am somewhere confident about this subject even though am not perfect, thanks to the  Prof. Ashwini mathur . "
1RVU23CSE153,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,T1,T1,T2,T3,R1,R6,R6,R6,R2,R5,R6,R7,R2,R2,R2,R3,R5,R5,R5,R5,3,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),It was a good course and could be better if deadline timings were taken care of.
1RVU23CSE320,Urban,"In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Teamwork or group activities;Student presentations;Guest lecturers",Yes,T1,T2,T2,T2,R6,R6,R6,R6,R1,R2,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,3,3,3,3,NA(marks >2),Yourself,Yourself,Yourself,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),The course helped me to analyze any given dataset correctly using python and also helped to increase my self confidence for giving seminars and other academic activities and also helped to increase my statistical approach towards a given dataset.
1RVU23CSE499,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,T1,T2,T2,T3,R4,R4,R4,R5,R6,R6,R6,R10,R2,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,Yes,Yes,Yes,NO,Excellent (> 90%),Faculty was very good course content also was very giod
1RVU23CSE248,Urban,"Class discussions, including online discussion boards",No,T4,T3,T4,T4,R4,R4,R4,R4,R1,R1,R1,R1,R4,R4,R4,R4,R3,R3,R3,R3,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),Good experience overall but submission deadlines were harsh
1RVU23CSE044,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Fieldwork/ field trips",Yes,T2,T2,T2,T2,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R4,R4,R4,R4,3,3,3,3,NA(marks >2),Circumstances,NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"It am an amazing course,got to learn at alot."
1rvu23cse097,Urban,"In-class learning activities, other than discussions",No,T2,T2,T2,T2,R5,R5,R5,R5,R2,R2,R2,R2,R2,R2,R2,R2,R3,R3,R3,R3,2,2,2,2,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),Good
1RVU23CSE411,Rural,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,T1,T1,T1,T1,R6,R6,R6,R6,R1,R1,R5,R5,R3,R3,R3,R3,R5,R5,R5,R3,3,4,4,3,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"It was a wonder experience to see a subject that focuses on analysis which is crucial for any field. It was simple ,easy to score and understandable."
1RVU23CSE160,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,T3,T3,T2,T2,R6,R6,R6,R6,R4,R4,R2,R2,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),"The course was one of the better ones this semester. The course plan,assessment plan was very good and perfectly suited for our understanding.Our faculty Mr.Ashwini Kumar sir was very good.His teaching made this course much easier. The final project was a little hard but it challenged us to learn more and apply our knowledge learnt in the course."
1RVU23CSE299,Rural,"Class discussions, including online discussion boards;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",Yes,T1,T1,T1,T2,R5,R5,R5,R5,R11,R11,R11,R11,R3,R3,R3,R3,R3,R3,R3,R3,5,5,4,4,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),"In the data analysis course, I delved into Python's powerful tools for crunching numbers and uncovering insights. From manipulating datasets with pandas to crafting visualizations using Matplotlib, the journey was a hands-on exploration of turning raw data into meaningful narratives a skill set essential for decoding the language of information in today's data-driven world."
1RVU23CSE253,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T2,T3,R6,R6,R4,R6,R2,R2,,R3,R3,R3,R3,R3,R3,R3,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"It was good, the assessment really helped me, my knowledge even got better with the projects and never really had to be worried about the marks coz the course was fun."
1RVU23CSE245,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,T3,T2,T2,T2,R6,R6,R6,R6,R1,R2,R4,R1,R1,R4,R1,R4,R5,R5,R5,R5,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),I learn about so much in this course this course very helpful learning more  i gain much of knowledge in this course
1RVU23CSE457,Rural,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Student presentations",Yes,,,,,R7,R7,R7,R6,R4,R6,R4,R4,R3,R2,R2,R3,R5,R3,R3,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"Overall the course was very interesting and helpful in not only the studying part but it also helped me develop my presentation skills.
"
1RVU23CSE062,Urban,"Lectures, including online lectures;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",No,T1,T2,T2,T3,R7,R6,R6,R5,R2,R8,R10,R9,R1,R1,R2,R3,R5,R5,R4,R4,4,3,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,Yes,Yes,NO,NO,Yes,NO,Good (70 - 90%),"Overall good.
Things that shd be improved is written above.
Good amount of assignment were given soo helped in building muscle memory."
1RVU23CSE386,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",,T1,T1,T1,T1,R7,R6,R7,R7,R11,R11,R11,R11,R2,R3,R2,R3,R5,R5,R4,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"It was good experience, helped me in understanding real life data analysis "
1RVU23CSE132,Rural,"Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T9,T9,T9,R6,R6,R6,R6,R11,R11,R11,R11,R2,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),Very good experience.I am looking forward to the best learning experience in my next semester in this course.
1RVU23CSE016,Rural,"In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios",Yes,T1,T2,T2,T2,R4,R4,R4,R4,R11,R12,R11,R11,R1,R1,R1,R1,R4,R4,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),The course was good
1RVU23CSE012,Urban,"In-class learning activities, other than discussions;Projects or portfolios;Fieldwork/ field trips",No,T2,T2,T2,T2,R2,R2,R2,R2,R3,R2,R3,R1,R4,R5,R6,R5,R5,R5,R5,R5,4,4,4,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),It was nice and fun but could have been better.
1RVU23CSE504,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,T1,T2,T2,T2,R6,R6,R6,R6,R4,R5,R5,R5,R2,R2,R2,R2,R5,R5,R5,R5,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),overall it was a good experience and i learnt many things that how cleaning the data and analyzing the data is important for many AI models and machine learning projects
1RVU23CSE228,Urban,"In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,T1,T3,T3,T2,R3,R6,R4,R2,,,,,R7,R6,R6,R6,R3,R5,R5,R5,2,4,4,4,Circumstances,Yourself,Yourself,Yourself,Yes,NO,NO,NO,Yes,NO,NO,NO,Good (70 - 90%),It was a great experience with my teacher understanding the concept it would have been even better if the concept teaching was bit slower so we could understand better
1RVU23CSE269,Urban,"In-class learning activities, other than discussions",Yes,T1,T1,T2,T1,R6,R6,R6,R6,R11,R11,R11,R11,R2,R2,R2,R2,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"It was a very smooth sail, I could manage to do everything and understand without wasting a lot of time all thanks to Ashwini sir, his guidance made things and learning a lot more fun and interesting."
1RVU23CSE069,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T2,T3,T4,R6,R6,R6,R6,R5,R2,R5,R4,R1,R2,R3,R1,R1,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),"In the data analysis with Python course, I learned by doing practical projects, which helped me understand how to use Python for real-world data tasks. The interactive sessions made it easier to grasp complex concepts. Overall, it was a hands-on and dynamic learning experience that gave me practical skills in data analysis with Python."
1RVU23CSE181,Urban,"Class discussions, including online discussion boards;Outside-class homework, readings;Teamwork or group activities;Student presentations",Yes,T2,T3,T3,T4,R5,R6,R6,R6,R7,R7,R5,R5,R3,R3,R3,R4,R5,R5,R4,R4,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,Yes,NO,NO,NO,NO,NO,Good (70 - 90%),"In the Data Analysis Using Python course, I immersed myself in the world of extracting insights from data. The hands-on approach allowed me to master various Python libraries such as Pandas and Matplotlib, enhancing my skills in manipulating and visualizing data. Through real-world projects, I honed my ability to clean and preprocess datasets, uncover patterns, and derive meaningful conclusions. The course not only equipped me with technical proficiency but also fostered a deep understanding of statistical concepts and data-driven decision-making. Overall, this experience has empowered me to confidently tackle complex data analysis tasks using Python in diverse professional settings."
1RVU23CSE144,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;Outside-class homework, readings;Student presentations",Yes,T1,T1,T1,T1,R7,R7,R7,R7,R2,R2,R2,R10,R1,R1,R1,R2,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),i really liked the course it was a new experience and it is very useful for practical application it learnt new things overall i enjoyed this course.
1RVU23CSE036,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T2,T3,T3,R6,R6,R6,R6,R1,R5,R7,R7,R3,R2,R2,R1,R5,R4,R4,R3,3,4,4,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,Yes,Yes,NO,NO,Yes,Good (70 - 90%),"Good at the beginning, but deteriorated a bit in the end as the time was limited and there was a rush in completing the syllabus. Didn't get to know our mistakes and why i lost my marks percisely and what could've prevented that, left me more perplexed. I did enjoy this couse though, didn't really put a burden on my other course studies and felt easy. I could've done much better with better guidance and support. Everything seemed rushed."
1RVU23CSE172,Urban,"Lectures, including online lectures;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,T2,T2,T2,T2,R7,R7,R7,R5,R12,R11,R10,R9,R4,R3,R2,R1,R3,R5,R4,R5,4,4,4,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),pretty good
1RVU23CSE389,Rural,"In-class clickers or other quick response methods;In-class learning activities, other than discussions;Labs;Teamwork or group activities;Guest lecturers",Yes,T1,T3,T4,T3,R6,R5,R7,R5,R6,R5,R5,R5,R2,R3,R2,R2,R3,R3,R3,R3,3,3,4,4,Circumstances,NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),The course was finely completed with the wonderful experience and able to gain some knowledge and got to know more about the use the python in data analytics.
1RVU23CSE159,Rural,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T2,T2,T2,R6,R6,R6,R6,R2,R3,R3,R3,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,NO,NO,Yes,Good (70 - 90%),DAP course is very interesting and exciting course in this we learnt lot of things logics ..
1RVU23CSE521,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios",Yes,T2,T3,T3,T4,R5,R6,R6,R6,R3,R5,R6,R5,R2,R2,R2,R2,R3,R3,R3,R3,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),Professor Vaidyanathan is an extremely good teacher when it comes to data analysis. He made the topics very simple and easy to understand and something that can be taught in a short period of time(similar to how someone would explain to a 5 year old). The course majorly revolved around doing by learning which accelerated my learning and made me love data visualization which I previously considered boaring. Professor Vaidyanathan also took time to prepare some advanced questions for some of us which was challenging enough to keep us intrested in the CO.He also recommend some great reference material.The flexibility and the easy of approach towards the faculty made this my favorite course of the semester.
1RVU23CSE483,Urban,,No,T1,T2,T3,T3,R5,R6,R6,R6,R1,R2,R4,R4,R2,R2,R2,R2,R3,R5,R5,R5,3,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,Yes,NO,NO,NO,Yes,Good (70 - 90%),It was overall a good experience. Got a gist about how data analysis works and done.
1RVU23CSE204,Urban,Teamwork or group activities,No,T2,T3,T3,T4,R6,R5,R3,R4,R1,R2,R2,R2,R7,R7,R7,R7,R4,R4,R4,R3,3,3,3,3,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,NO,NO,NO,NO,NO,Okay (40 - 70%),"There is nothing to tell here, everything was good, except for me as I never showed any seriousness towards it."
1RVU23CSE476,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T4,T4,T7,R4,R7,R6,R6,R1,R6,R6,R7,R3,R3,R3,R3,R5,R5,R5,R3,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,Yes,Yes,Yes,Yes,Good (70 - 90%),"Overall I gained a lot of knowledge from this couse. It was an interesting class for me.It combines theoretical concepts along with coding exercises, providing a solid foundation for understanding data analysis techniques using Python. The instructors clarity and guidance have made complex topics accessible.The real-world examples and projects have improved my analytical skills ."
1RVU23CSE039,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;Teamwork or group activities;Student presentations;Guest lecturers",Yes,T3,T3,T4,T4,R7,R7,R6,R5,R1,R2,R2,R3,R3,R3,R3,R2,R4,R4,R4,R3,5,5,4,4,Yourself,Yourself,Yourself,Yourself,NO,NO,NO,Yes,NO,NO,NO,Yes,Excellent (> 90%),"Course was very useful and more like practical concepts where we were experiencing as if we are doing a job 
Overall loved the subject 
It would be very nice if we have much advanced or the second level of this course for much more concepts where studenrs like me love data analysis and make a career out of this"
1RVU23CSE339,Rural,"In-class clickers or other quick response methods;In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",No,T3,T4,T5,T5,R7,R7,R7,R7,R1,R2,R6,R6,R1,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),it was actually a good course where we learnt about data analysis . it is intresting to include stat in python.i really loved the course.
1RVU23CSE317,Rural,"Lectures, including online lectures;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Teamwork or group activities;Student presentations",Yes,T1,T2,T2,T2,R6,R6,R6,R7,R11,R11,R11,R11,R2,R1,R1,R1,R5,R5,R5,R5,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),Very good new experience
1RVU23CSE232,Rural,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,T1,T2,T2,T3,R7,R7,R6,R5,R5,R5,R5,R2,R1,R2,R2,R3,R3,R3,R5,R5,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,NO,Yes,NO,NO,NO,NO,NO,NO,Good (70 - 90%),I think this course is really helpful to your future
1RVU23CSE325,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities",No,T2,T2,T2,T3,R6,R6,R6,R6,R4,R4,R5,R5,R2,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,Yes,NO,Yes,NO,NO,NO,NO,Excellent (> 90%),"Taking the data analysis with Python course was a transformative experience. The course content was well-structured, starting with the fundamentals and progressively delving into more advanced topics. Hands-on exercises and projects allowed me to immediately apply the concepts learned in class, reinforcing my understanding and boosting my confidence in using Python for data analysis. The instructors were knowledgeable, approachable, and provided timely feedback, creating a supportive learning environment. Exploring real-world datasets and implementing various data manipulation and visualization techniques using libraries like Pandas and Matplotlib significantly enhanced my practical skills. Overall, the course provided a solid foundation in data analysis with Python, empowering me to extract meaningful insights from data efficiently."
